CIDS,SE_NAME,SE_FREQ,SE_ONTOLOGY
CID000002118,hypomania,3,19.16.02.001
CID000003152,dry eye,3,06.08.02.001
CID000060198,oedema peripheral,4,02.05.04.007|08.01.07.007|14.05.06.011
CID000003152,acute coronary syndrome,3,02.02.02.015|24.04.04.011
CID000005665,laryngeal pain,5,22.02.05.036
CID000060961,discomfort,5,08.01.08.003
CID000003696,feeling abnormal,4,08.01.09.014
CID000043672,vomiting,4,07.01.07.003
CID000000772,pulmonary oedema,3,02.05.02.003|22.01.03.003
CID005281071,dermatitis,3,23.03.04.002
CID000065999,liver disorder,2,09.01.08.001
CID000002284,subdural haematoma,3,12.01.10.003|17.08.05.002|24.07.04.005
CID003011155,gastrointestinal pain,4,07.01.05.005
CID000063009,dizziness,4,02.01.02.004|17.02.05.003|24.06.02.007
CID024826799,body temperature increased,4,13.15.01.001
CID002826718,abdominal pain,4,07.01.05.002
CID005361092,dysphagia,3,07.01.06.003
CID000056338,photophobia,3,06.01.01.004|17.17.02.006
CID000969472,vaginal infection,3,11.01.10.002|21.14.02.002
CID000005070,candida infection,3,11.03.03.021
CID000005095,visual impairment,4,06.02.06.008
CID003034010,asthenia,4,08.01.01.001
CID016129672,productive cough,4,22.02.03.005
CID000001775,rash maculo-papular,3,23.03.13.004
CID000003475,arthralgia,4,15.01.02.001
CID000003386,libido decreased,4,19.08.03.001|21.03.02.005
CID005284513,erectile dysfunction,4,19.08.04.001|21.03.01.007
CID000060699,malaise,4,08.01.01.003
CID000443872,hypoaesthesia,3,17.02.06.023
CID000060814,somnolence,4,17.02.04.006|19.02.05.003
CID000005002,hypoglycaemia,3,05.06.03.001|14.06.03.001
CID000002099,infection,2,11.01.08.002
CID000005719,somnolence,4,17.02.04.006|19.02.05.003
CID000134780,headache,5,17.14.01.001
CID000005073,leukopenia,3,01.02.02.001
CID003052775,gingivitis,4,07.09.03.003|11.01.04.013
CID000003749,cough,4,22.02.03.001
CID000004585,micturition urgency,3,20.02.02.006
CID000170361,menorrhagia,3,21.01.03.002
CID000003152,diverticulitis,3,07.10.02.001|11.01.07.003
CID000002554,sexual dysfunction,1,19.08.05.002|21.03.02.003
CID005281006,pruritus genital,3,21.10.01.002|23.03.12.008
CID000123606,chest pain,3,02.02.02.011|08.01.08.002|22.02.08.003
CID000005253,rash,4,23.03.13.001
CID000657237,haemoglobin,3,13.01.05.018
CID000123631,urinary tract disorder,5,20.08.01.001
CID000003446,vomiting,4,07.01.07.003
CID000010531,diarrhoea,4,07.02.01.001
CID000002803,epistaxis,4,22.04.03.001|24.07.01.005
CID000004585,hypoglycaemia,3,05.06.03.001|14.06.03.001
CID003052775,deafness,3,04.02.01.001
CID000006432,arthralgia,2,15.01.02.001
CID000002578,paranoia,4,19.05.01.005
CID000003152,mastitis,3,11.01.02.001|21.05.03.002
CID000002092,somnolence,3,17.02.04.006|19.02.05.003
CID000005073,psychotic disorder,4,19.03.01.002
CID000001775,nausea,4,07.01.07.001
CID000060857,sialoadenitis,2,07.06.04.002|11.01.04.002
CID000002585,confusional state,4,17.02.03.005|19.13.01.001
CID000170361,viral infection,3,11.05.04.001
CID000006251,retching,3,07.01.07.002
CID000003446,conversion disorder,2,19.24.01.001
CID000146570,neuralgia,3,17.02.07.005
CID000002818,rash,4,23.03.13.001
CID000002284,urinary retention,3,20.02.02.011
CID000047811,hypotension,4,24.06.03.002
CID000005070,thirst,3,08.01.09.021|14.03.02.007
CID000004510,tachycardia,2,02.03.02.007
CID000132971,dyspnoea,4,02.01.03.002|22.02.01.004
CID016157882,induration,4,08.01.03.020
CID000005291,sexual dysfunction,3,19.08.05.002|21.03.02.003
CID005284570,pain in extremity,4,15.03.04.010
CID000005775,gastrointestinal pain,4,07.01.05.005
CID000003339,pancreatitis,3,07.18.01.001
CID000060837,rhinitis,4,11.01.13.004|22.07.03.006
CID000005095,abdominal pain lower,3,07.01.05.010
CID000062886,dermatitis,3,23.03.04.002
CID000115237,nausea,4,07.01.07.001
CID000039860,ataxia,5,08.01.02.004|17.02.02.001
CID000002771,arthritis,3,15.01.01.001
CID000004449,rectal haemorrhage,3,07.12.03.001|24.07.02.018
CID000060853,lymphoedema,2,01.09.01.006|24.09.01.001
CID000082146,pneumonia,4,11.01.09.003|22.07.01.003
CID000055480,blood pressure increased,4,13.14.03.005
CID005284627,nervous system disorder,2,17.02.10.001
CID000002801,pneumonia,2,11.01.09.003|22.07.01.003
CID000005394,dyspepsia,4,07.01.02.001
CID003062316,abdominal pain,4,07.01.05.002
CID005284627,vaginal discharge,4,21.08.02.002
CID005361092,feeling abnormal,4,08.01.09.014
CID000005070,liver injury,2,09.01.07.022|12.01.02.003
CID000063009,ill-defined disorder,4,08.01.03.049
CID000208908,vomiting,5,07.01.07.003
CID000060843,leukopenia,5,01.02.02.001
CID025074470,headache,4,17.14.01.001
CID006321408,tremor,4,17.01.06.002
CID000005734,dysgeusia,4,07.14.03.001|17.02.07.003
CID000003446,urticaria,3,10.01.06.001|23.04.02.001
CID001548954,menorrhagia,4,21.01.03.002
CID000004440,bronchitis,3,11.01.09.001|22.07.01.001
CID000020279,rales,4,22.02.04.004
CID000005070,epistaxis,3,22.04.03.001|24.07.01.005
CID000002471,hyponatraemia,4,14.05.04.002
CID000036294,keratitis,3,06.04.02.002
CID005486971,ventricular arrhythmia,2,02.03.04.006
CID071306834,hyperhidrosis,4,08.01.03.028|23.02.03.004
CID000000444,sexual dysfunction,4,19.08.05.002|21.03.02.003
CID000016850,thrombophlebitis,3,24.01.02.001
CID000005002,visual impairment,3,06.02.06.008
CID005284627,breast pain,4,21.05.05.003
CID000154058,influenza,4,11.05.03.001|22.07.02.001
CID000657237,fatigue,5,08.01.01.002
CID000392622,somnolence,4,17.02.04.006|19.02.05.003
CID000064147,vision blurred,4,06.02.06.007|17.17.01.010
CID024821094,petechiae,4,01.01.03.002|23.06.01.003|24.07.06.004
CID000146570,myocardial ischaemia,3,02.02.02.008|24.04.04.010
CID009865528,nasopharyngitis,4,11.01.13.002|22.07.03.002
CID003085017,musculoskeletal discomfort,4,15.03.04.001
CID000005719,generalised oedema,3,08.01.07.004|14.05.06.007
CID000002477,paraesthesia,4,17.02.06.005
CID000002265,intestinal perforation,1,07.04.06.002
CID006442177,renal failure,4,20.01.03.005
CID000060853,cardiomegaly,2,02.04.02.001
CID000005665,skin disorder,4,23.03.03.007
CID005362129,oedema,3,08.01.07.006|14.05.06.010
CID005486971,albuminuria,3,20.02.01.001
CID000060706,gastrointestinal haemorrhage,3,07.12.02.001|24.07.02.009
CID000060953,neuropathy peripheral,4,17.09.03.003
CID000005665,asthenopia,4,06.01.01.002
CID000071616,injection site reaction,4,08.02.03.014|12.07.03.015
CID000037542,blood triglycerides increased,4,13.12.03.001
CID000005152,rhinitis,4,11.01.13.004|22.07.03.006
CID000657237,myocardial infarction,4,02.02.02.007|24.04.04.009
CID000009444,local swelling,4,08.01.03.013
CID005324345,musculoskeletal discomfort,4,15.03.04.001
CID000002754,musculoskeletal discomfort,4,15.03.04.001
CID000157920,fatigue,4,08.01.01.002
CID000005078,flushing,4,08.01.03.025|23.06.05.003|24.03.01.002
CID000004585,subarachnoid haemorrhage,2,12.01.10.011|17.08.01.010|24.07.04.004
CID000060834,ear pain,3,04.03.01.003
CID000004205,diabetes mellitus,2,05.06.01.001|14.06.01.001
CID000387447,plasma cell myeloma,5,01.14.02.004|16.23.02.004
CID000003152,oropharyngeal pain,4,07.05.05.004|22.02.05.022
CID000005073,tension,4,19.06.02.005
CID000033741,decreased appetite,4,08.01.09.028|14.03.01.005
CID000003386,delirium,3,19.13.02.001
CID000003702,nausea,4,07.01.07.001
CID006602291,anaemia,4,01.03.02.001
CID000005152,musculoskeletal discomfort,1,15.03.04.001
CID000005656,infection,4,11.01.08.002
CID000005719,tongue oedema,2,07.14.02.007|10.01.05.008|23.04.01.009
CID000004075,flatulence,3,07.01.04.002
CID005486971,psoriasis,3,10.02.01.036|23.03.14.002
CID000003158,urinary tract infection,3,11.01.14.004|20.08.02.001
CID000003108,anorectal discomfort,2,07.03.03.003
CID054671203,pain in jaw,4,15.02.01.003
CID000644241,throat irritation,3,07.05.03.004|22.02.05.013
CID000003446,nasopharyngitis,4,11.01.13.002|22.07.03.002
CID000014888,leukocytosis,4,01.02.01.002
CID000065492,vomiting,4,07.01.07.003
CID000004192,hypoxia,4,22.02.02.003
CID000004634,gastrointestinal disorder,5,07.11.01.001
CID000003032,application site reaction,4,08.02.01.006|12.07.01.006
CID000005070,deafness,2,04.02.01.001
CID000002907,jaundice,4,01.06.04.004|09.01.01.004|23.03.03.030
CID000444030,alanine aminotransferase increased,3,13.03.01.003
CID000004673,interstitial lung disease,2,10.02.01.033|22.01.02.003
CID044564107,pain,5,08.01.08.004
CID005311065,rhinitis,4,11.01.13.004|22.07.03.006
CID000003878,dyspepsia,4,07.01.02.001
CID000110635,dermatitis,4,23.03.04.002
CID000107969,eczema,4,23.03.04.006
CID024826799,diarrhoea,4,07.02.01.001
CID000001978,rash,4,23.03.13.001
CID000010413,nausea,5,07.01.07.001
CID000002118,sexual dysfunction,4,19.08.05.002|21.03.02.003
CID000002801,hyperkinesia,3,17.01.02.008
CID000065628,dizziness,1,02.01.02.004|17.02.05.003|24.06.02.007
CID000447043,injection site pain,4,08.02.03.010|12.07.03.011
CID000003446,abnormal dreams,3,17.15.02.001|19.02.03.001
CID000031100,dyspepsia,4,07.01.02.001
CID006450551,dyspnoea,5,02.01.03.002|22.02.01.004
CID005280754,gastrointestinal disorder,4,07.11.01.001
CID000003446,blister,2,12.01.06.002|23.03.01.001
CID000060853,lymphadenopathy,3,01.09.01.002
CID000213039,acute myocardial infarction,2,02.02.02.001|24.04.04.001
CID000005734,confusional state,4,17.02.03.005|19.13.01.001
CID000005073,asthma,2,10.01.03.010|22.03.01.002
CID000003494,rhinitis,3,11.01.13.004|22.07.03.006
CID000159269,asthenia,4,08.01.01.001
CID000005734,rash,4,23.03.13.001
CID010034073,gastrointestinal pain,4,07.01.05.005
CID000064147,night sweats,4,08.01.03.031|23.02.03.006
CID000043815,muscle spasms,2,15.05.03.004
CID000003696,agitation,4,17.02.05.012|19.06.02.001
CID000003152,myalgia,3,15.05.02.001
CID005284627,mastitis,4,11.01.02.001|21.05.03.002
CID000005291,cerebral haemorrhage,3,17.08.01.003|24.07.04.001
CID002733525,oedema,4,08.01.07.006|14.05.06.010
CID000002083,conjunctivitis,4,06.04.01.002|11.01.06.012
CID000043815,stomatitis,3,07.05.06.005
CID000158781,nausea,3,07.01.07.001
CID000358641,depression,1,19.15.01.001
CID005311065,nasal congestion,5,22.04.04.001
CID000005719,nervousness,4,19.06.02.003
CID044201342,blood creatine phosphokinase increased,4,13.04.01.001
CID000003108,anxiety,3,19.06.02.002
CID000005734,stomatitis,3,07.05.06.005
CID000441335,dysmenorrhoea,4,21.01.01.002
CID006918638,nausea,5,07.01.07.001
CID000009651,weight decreased,4,13.15.01.005
CID000005394,tooth disorder,3,07.09.05.001
CID000134018,vomiting,3,07.01.07.003
CID005479537,inflammation,3,08.01.05.007
CID006918638,hypotension,4,24.06.03.002
CID000003463,paraesthesia,3,17.02.06.005
CID005324345,alcohol intolerance,2,14.02.01.001
CID000005719,dry mouth,4,07.06.01.002
CID000003446,duodenal ulcer,2,07.04.02.002
CID000057363,somnolence,4,17.02.04.006|19.02.05.003
CID000082146,weight decreased,5,13.15.01.005
CID005486971,polycythaemia,2,01.07.01.001
CID000150610,pneumothorax,4,22.05.02.003
CID005284627,deep vein thrombosis,3,24.01.02.003
CID025181561,dermatitis,4,23.03.04.002
CID000004274,nausea,4,07.01.07.001
CID000033741,hot flush,3,08.01.03.027|21.02.02.001|24.03.01.005
CID000030323,arrhythmia,5,02.03.02.001
CID005486971,myocardial ischaemia,3,02.02.02.008|24.04.04.010
CID000005468,gastrointestinal pain,4,07.01.05.005
CID000005152,respiratory tract infection,4,11.01.08.017|22.07.07.001
CID000216235,nausea,4,07.01.07.001
CID005324345,blood lactate dehydrogenase increased,2,13.04.02.002
CID000002764,agranulocytosis,1,01.02.03.001
CID000474409,fluid overload,4,02.05.04.004|14.05.06.001
CID000060648,euphoric mood,4,19.04.02.006
CID000208908,neutropenia,5,01.02.03.004
CID000005487,dizziness,4,02.01.02.004|17.02.05.003|24.06.02.007
CID000003878,irritability,4,08.01.03.011|19.04.02.013
CID005388961,vomiting,4,07.01.07.003
CID000002801,gingivitis,3,07.09.03.003|11.01.04.013
CID000006058,body temperature increased,5,13.15.01.001
CID000157921,erythema,4,23.03.06.001
CID000005095,urinary incontinence,4,17.05.01.008|20.02.02.010
CID000005073,ejaculation failure,4,21.03.01.003
CID000036294,eye pruritus,3,06.04.05.006
CID000077993,oesophagitis,3,07.08.05.001
CID000005656,hair colour changes,2,23.02.06.001
CID000004828,cardiac failure,3,02.05.01.001
CID000003958,hyperventilation,3,19.01.02.004|22.02.01.006
CID000060857,weight increased,2,13.15.01.006
CID000148192,rash,5,23.03.13.001
CID000002771,arthralgia,4,15.01.02.001
CID000077993,hyperaesthesia,3,17.02.06.004
CID000001983,vomiting,4,07.01.07.003
CID054671203,diarrhoea,4,07.02.01.001
CID005486971,hypochloraemia,2,14.05.08.003
CID010324367,hyperglycaemia,4,05.06.02.002|14.06.02.002
CID000036294,dyspnoea,5,02.01.03.002|22.02.01.004
CID000969472,viral infection,4,11.05.04.001
CID000441193,paraesthesia,3,17.02.06.005
CID000077992,urine output increased,3,13.13.03.002
CID000004440,aggression,2,19.05.01.001
CID000026757,paraesthesia oral,3,07.05.03.003|17.02.06.008
CID000074989,body temperature increased,5,13.15.01.001
CID010184653,epistaxis,5,22.04.03.001|24.07.01.005
CID000047811,palpitations,4,02.01.02.003
CID000163296,somnolence,3,17.02.04.006|19.02.05.003
CID070788982,headache,5,17.14.01.001
CID000002801,encephalopathy,3,17.13.02.001
CID000149096,rash maculo-papular,3,23.03.13.004
CID000005487,melaena,3,07.12.02.004|24.07.02.013
CID000060857,gingivitis,2,07.09.03.003|11.01.04.013
CID000004171,nightmare,3,19.02.03.003
CID000002801,depressed level of consciousness,2,17.02.04.002
CID000005426,loss of consciousness,4,17.02.04.004
CID000001775,dermatitis contact,3,10.01.01.003|12.03.01.040|23.03.04.004
CID000005665,toothache,4,07.09.06.001
CID000068740,urticaria,3,10.01.06.001|23.04.02.001
CID000060825,flatulence,4,07.01.04.002
CID009838021,constipation,5,07.02.02.001
CID000005734,melaena,3,07.12.02.004|24.07.02.013
CID000060857,ulcer,2,08.03.06.001
CID000002801,haematuria,3,20.02.01.006|24.07.01.047
CID000033741,blister,3,12.01.06.002|23.03.01.001
CID005284616,visual impairment,4,06.02.06.008
CID000047725,dermatitis,4,23.03.04.002
CID000060946,swelling,4,08.01.03.015
CID000163296,gastroenteritis,1,07.19.03.001|11.01.07.004
CID006435110,flat affect,4,19.04.01.004
CID000003690,hepatic function abnormal,4,09.01.02.001
CID000216326,joint swelling,3,15.01.02.004
CID000216326,swelling face,3,10.01.05.018|23.04.01.018
CID016004692,anaemia,5,01.03.02.001
CID000005656,hypertonia,4,15.05.04.007|17.05.02.001
CID000014969,infection,4,11.01.08.002
CID000000444,dysarthria,3,17.02.08.001|19.19.03.001
CID000003157,tachycardia,4,02.03.02.007
CID000003386,purpura,2,01.01.04.003|23.06.01.004|24.07.06.005
CID000026757,mood swings,3,19.04.03.001
CID005281107,dizziness,5,02.01.02.004|17.02.05.003|24.06.02.007
CID000073491,diarrhoea,4,07.02.01.001
CID000002369,nausea,4,07.01.07.001
CID000005070,psoriasis,3,10.02.01.036|23.03.14.002
CID000003902,constipation,4,07.02.02.001
CID006442177,blood triglycerides increased,5,13.12.03.001
CID026275995,hypertension,4,24.08.02.001
CID000059226,depression,4,19.15.01.001
CID011672602,dermatitis,4,23.03.04.002
CID000060857,chills,3,08.01.09.001|15.05.03.016
CID000037542,breast pain,4,21.05.05.003
CID000146570,varicose vein,3,24.10.04.001
CID016132265,acne,1,23.02.01.001
CID000002973,acute respiratory distress syndrome,1,22.01.03.001
CID000444795,renal impairment,5,20.01.03.010
CID005288826,constipation,5,07.02.02.001
CID000004205,glaucoma,3,06.03.01.002
CID016131215,nausea,4,07.01.07.001
CID000060749,aspartate aminotransferase increased,4,13.03.01.006
CID000047811,gastritis,3,07.08.02.001
CID000387447,insomnia,5,17.15.03.002|19.02.01.002
CID000216326,abdominal distension,4,07.01.04.001
CID000043815,orthostatic hypotension,4,17.05.01.020|24.06.03.004
CID000005656,breast engorgement,2,18.08.02.001|21.05.05.002
CID000047811,increased appetite,3,08.01.09.027|14.03.01.003
CID000005090,urinary tract infection,4,11.01.14.004|20.08.02.001
CID000062819,toothache,4,07.09.06.001
CID000005291,cardiac disorder,2,02.01.01.003
CID000060843,dysgeusia,4,07.14.03.001|17.02.07.003
CID005486971,migraine,3,17.14.02.001|24.03.05.003
CID000004634,application site vesicles,4,08.02.01.009|12.07.01.009|23.03.01.009
CID003086257,skin discolouration,4,23.03.03.005
CID000003696,liver function test abnormal,4,13.03.01.013
CID000003961,palpitations,4,02.01.02.003
CID000005095,sciatica,3,15.10.01.001|17.10.03.001
CID004659569,paraesthesia,4,17.02.06.005
CID000969472,vertigo,3,04.04.01.003|17.02.12.002
CID000003158,laryngitis,3,11.01.13.001|22.07.03.001
CID000071616,tachycardia,4,02.03.02.007
CID000004585,asocial behaviour,3,19.05.01.011
CID000004158,alanine aminotransferase increased,4,13.03.01.003
CID000003121,abdominal pain,4,07.01.05.002
CID000057363,asthenia,5,08.01.01.001
CID003081361,hypokalaemia,3,14.05.03.002
CID016131215,pain,5,08.01.08.004
CID010324367,oedema peripheral,4,02.05.04.007|08.01.07.007|14.05.06.011
CID000150610,constipation,4,07.02.02.001
CID000034312,asthenia,5,08.01.01.001
CID000005073,polydipsia,4,05.03.03.002|14.05.02.001
CID000216239,dysphagia,4,07.01.06.003
CID000004946,abdominal pain,4,07.01.05.002
CID014476155,diarrhoea,4,07.02.01.001
CID000005487,leukocytosis,3,01.02.01.002
CID000392622,myalgia,4,15.05.02.001
CID000071360,musculoskeletal stiffness,4,15.03.01.005
CID000005578,photosensitivity reaction,1,23.03.09.003
CID005324345,schizophreniform disorder,2,19.03.02.001
CID000033741,photopsia,3,06.02.06.004|17.17.01.006
CID000157920,dyspepsia,4,07.01.02.001
CID016129665,paraesthesia,3,17.02.06.005
CID000092253,body temperature decreased,4,13.15.01.010
CID006918250,body temperature increased,5,13.15.01.001
CID005311068,vomiting,4,07.01.07.003
CID006918140,loss of consciousness,4,17.02.04.004
CID000060837,dermatitis exfoliative,3,10.01.01.004|23.03.07.001
CID000043815,weight increased,4,13.15.01.006
CID000001775,affect lability,3,19.04.01.001
CID000005358,muscle spasms,3,15.05.03.004
CID003086257,haematemesis,4,07.12.02.002|24.07.02.011
CID000005095,chest discomfort,3,02.02.02.009|08.01.08.019|22.02.08.001
CID000077992,laryngitis,3,11.01.13.001|22.07.03.001
CID000005394,hot flush,3,08.01.03.027|21.02.02.001|24.03.01.005
CID000151165,neutropenia,4,01.02.03.004
CID000060853,myoclonus,2,17.02.05.008
CID000003902,thirst,3,08.01.09.021|14.03.02.007
CID000216326,hypotension,4,24.06.03.002
CID000146570,gastrointestinal haemorrhage,3,07.12.02.001|24.07.02.009
CID000216235,constipation,4,07.02.02.001
CID000010413,viral infection,4,11.05.04.001
CID000002771,muscle contractions involuntary,3,15.05.03.008|17.05.03.001
CID000004192,pruritus,3,23.03.12.001
CID000002118,sluggishness,3,08.01.01.004
CID000146570,nasopharyngitis,3,11.01.13.002|22.07.03.002
CID000004725,diarrhoea,4,07.02.01.001
CID000003386,ear pain,4,04.03.01.003
CID000060164,skin exfoliation,4,23.03.07.003
CID000055245,asthenia,5,08.01.01.001
CID006918638,infusion site pain,4,08.02.05.014|12.07.05.002
CID000115237,nervous system disorder,4,17.02.10.001
CID005282411,dyspnoea,4,02.01.03.002|22.02.01.004
CID004369359,nasopharyngitis,4,11.01.13.002|22.07.03.002
CID006918140,infusion site reaction,5,08.02.05.005|12.07.05.006
CID000005002,blood creatinine increased,3,13.13.01.004
CID000002771,myocardial infarction,3,02.02.02.007|24.04.04.009
CID010324367,irritability,5,08.01.03.011|19.04.02.013
CID000003386,dermatitis,4,23.03.04.002
CID000005245,fatigue,4,08.01.01.002
CID000636380,gastrointestinal pain,3,07.01.05.005
CID000009651,nocturia,3,20.02.03.001
CID000003869,erectile dysfunction,4,19.08.04.001|21.03.01.007
CID003062316,weight decreased,4,13.15.01.005
CID000005073,erectile dysfunction,4,19.08.04.001|21.03.01.007
CID000003454,infection,5,11.01.08.002
CID000003878,gingivitis,3,07.09.03.003|11.01.04.013
CID000121749,depression,4,19.15.01.001
CID000002216,discomfort,4,08.01.08.003
CID000005291,musculoskeletal discomfort,5,15.03.04.001
CID000060795,dyspepsia,4,07.01.02.001
CID000084029,connective tissue disorder,4,15.06.01.006
CID005362118,dizziness,5,02.01.02.004|17.02.05.003|24.06.02.007
CID000005487,asthenia,5,08.01.01.001
CID000026757,dysgeusia,4,07.14.03.001|17.02.07.003
CID006918453,stomatitis,5,07.05.06.005
CID005493444,haematocrit decreased,2,13.01.05.001
CID000010917,dizziness,5,02.01.02.004|17.02.05.003|24.06.02.007
CID000043815,myocardial ischaemia,2,02.02.02.008|24.04.04.010
CID005486971,thinking abnormal,4,17.02.05.023|19.10.03.001
CID000060877,abdominal pain,5,07.01.05.002
CID000003414,anaemia,4,01.03.02.001
CID000071158,diplopia,2,06.02.06.002|17.17.01.005
CID000004158,dry mouth,5,07.06.01.002
CID000016850,nasal congestion,1,22.04.04.001
CID000003331,hypophosphataemia,4,14.04.03.001
CID005280754,blood creatinine increased,5,13.13.01.004
CID005277135,asthenia,4,08.01.01.001
CID000060749,nausea,5,07.01.07.001
CID005352019,dehydration,4,14.05.05.001
CID000002284,fatigue,4,08.01.01.002
CID003086257,abdominal pain lower,3,07.01.05.010
CID000387447,renal failure,4,20.01.03.005
CID003052762,dyspepsia,4,07.01.02.001
CID000060853,amnesia,4,17.03.02.001|19.20.01.001
CID003062316,fatigue,5,08.01.01.002
CID000065014,discomfort,4,08.01.08.003
CID000003158,viral infection,3,11.05.04.001
CID000018283,endocrine disorder,1,05.09.01.001
CID005311027,conjunctivitis allergic,4,06.04.01.003|10.01.04.002
CID005284583,cough,4,22.02.03.001
CID024826799,white blood cell count decreased,5,13.01.06.012
CID000001775,leukopenia,3,01.02.02.001
CID000005245,gastrointestinal disorder,4,07.11.01.001
CID000005152,dermatitis,4,23.03.04.002
CID000031703,lacrimation increased,4,06.08.02.004
CID000060846,nausea,4,07.01.07.001
CID000003878,tinnitus,3,04.04.01.002|17.04.07.004
CID000005002,aggression,4,19.05.01.001
CID000002801,pruritus genital,3,21.10.01.002|23.03.12.008
CID000002022,asthenia,4,08.01.01.001
CID000002764,paraesthesia,2,17.02.06.005
CID000064142,alanine aminotransferase increased,4,13.03.01.003
CID004659569,prostate cancer,3,16.25.01.001|21.04.02.002
CID000003784,asthenia,4,08.01.01.001
CID000006058,nervousness,3,19.06.02.003
CID000003386,gingival bleeding,3,07.09.07.001|24.07.02.010
CID009690109,dyspepsia,4,07.01.02.001
CID000004493,weight decreased,4,13.15.01.005
CID000004171,dyspnoea exertional,4,02.01.03.003|22.02.01.005
CID003062316,colitis,4,07.08.01.001
CID044201342,joint stiffness,4,15.01.02.003
CID000002801,ill-defined disorder,3,08.01.03.049
CID000216326,hyponatraemia,4,14.05.04.002
CID000005656,haematemesis,2,07.12.02.002|24.07.02.011
CID000060834,dermatitis,3,23.03.04.002
CID000001775,meningitis,3,11.01.03.001|17.06.03.001
CID000460612,pulmonary fibrosis,2,22.01.02.006
CID000003878,gingival bleeding,2,07.09.07.001|24.07.02.010
CID005353562,headache,4,17.14.01.001
CID000000444,mania,4,19.16.02.002
CID000439693,pain,5,08.01.08.004
CID000004409,gastrointestinal pain,5,07.01.05.005
CID006450551,cerebrovascular accident,3,17.08.01.007|24.03.05.001
CID000060953,pneumonia,3,11.01.09.003|22.07.01.003
CID000047811,asthma,3,10.01.03.010|22.03.01.002
CID000033613,angioedema,1,10.01.05.009|23.04.01.001
CID000082146,dermatitis,5,23.03.04.002
CID000004673,bronchospasm,3,10.01.03.012|22.03.01.004
CID025102847,hypertension,4,24.08.02.001
CID000004054,paranoia,3,19.05.01.005
CID000060699,extravasation,1,08.01.03.008
CID000005095,menorrhagia,3,21.01.03.002
CID000005070,amblyopia,3,06.02.01.001
CID000064147,diarrhoea,5,07.02.01.001
CID000060795,rhinitis,4,11.01.13.004|22.07.03.006
CID000003958,vomiting,3,07.01.07.003
CID009571107,platelet count decreased,3,13.01.04.001
CID000004054,paraesthesia,3,17.02.06.005
CID000033741,viral infection,3,11.05.04.001
CID005281107,decreased appetite,4,08.01.09.028|14.03.01.005
CID016129704,pain,5,08.01.08.004
CID000445643,rosacea,4,23.02.08.001
CID000002022,encephalopathy,1,17.13.02.001
CID000036523,dysmenorrhoea,4,21.01.01.002
CID000003380,agitation,2,17.02.05.012|19.06.02.001
CID016137271,arthralgia,4,15.01.02.001
CID000077993,hypertension,3,24.08.02.001
CID006918313,increased appetite,4,08.01.09.027|14.03.01.003
CID000060198,dizziness,4,02.01.02.004|17.02.05.003|24.06.02.007
CID000387447,dyspepsia,5,07.01.02.001
CID000003749,nervousness,4,19.06.02.003
CID000005656,hypohidrosis,2,08.01.03.029|23.02.03.005
CID006435110,oedema peripheral,4,02.05.04.007|08.01.07.007|14.05.06.011
CID000039186,atrioventricular block,4,02.03.01.002
CID000003446,infection,4,11.01.08.002
CID000170361,night blindness,2,06.02.02.003|14.12.03.001
CID000969472,skin discolouration,3,23.03.03.005
CID000060877,dyspepsia,4,07.01.02.001
CID000077993,hypertonia,4,15.05.04.007|17.05.02.001
CID000060822,sinusitis,4,11.01.13.005|22.07.03.007
CID000047811,cyanosis,3,02.01.02.002|22.02.02.007|24.03.01.007
CID005362123,loss of consciousness,3,17.02.04.004
CID005284627,mania,3,19.16.02.002
CID000003261,hyperventilation,2,19.01.02.004|22.02.01.006
CID000445643,skin cancer,4,16.03.02.002|23.08.02.002
CID000003454,discomfort,3,08.01.08.003
CID005352062,infection,5,11.01.08.002
CID000036523,pain,4,08.01.08.004
CID000060953,dehydration,4,14.05.05.001
CID000004493,lung disorder,4,22.02.07.001
CID000071158,photosensitivity reaction,2,23.03.09.003
CID005486971,depressed level of consciousness,3,17.02.04.002
CID006850789,musculoskeletal discomfort,4,15.03.04.001
CID000056338,paralysis,3,17.01.04.004
CID000071616,lymphadenopathy,3,01.09.01.002
CID000003958,stupor,3,17.02.04.007|19.02.05.004
CID000071384,blood alkaline phosphatase increased,1,13.04.02.004
CID006450551,dehydration,4,14.05.05.001
CID000104865,wheezing,4,22.03.01.009
CID000036523,gastrointestinal pain,4,07.01.05.005
CID000047811,cholecystitis,2,09.03.01.001
CID000002771,discomfort,3,08.01.08.003
CID000043815,torsade de pointes,2,02.03.04.005
CID000002477,akathisia,3,17.01.02.002|19.06.02.006
CID000005070,interstitial lung disease,3,10.02.01.033|22.01.02.003
CID000063009,anxiety,3,19.06.02.002
CID000054746,gastritis,4,07.08.02.001
CID000002801,hypomania,4,19.16.02.001
CID005311027,visual impairment,4,06.02.06.008
CID000004205,disturbance in sexual arousal,3,19.08.04.003
CID000003386,priapism,2,21.03.01.005
CID010077129,anaemia,4,01.03.02.001
CID005284627,gingival bleeding,3,07.09.07.001|24.07.02.010
CID000002801,conjunctivitis,4,06.04.01.002|11.01.06.012
CID000077992,tinnitus,4,04.04.01.002|17.04.07.004
CID000054840,asthenia,4,08.01.01.001
CID000027661,dyspepsia,4,07.01.02.001
CID000071158,asthma,3,10.01.03.010|22.03.01.002
